# Time	MagPro_XP	MagPro_XP_fit
2.319999999999975619e-04	-3.975431150931149071e-01	-4.239664358919155163e-01
2.320999999999975643e-04	-3.960085098198411480e-01	-4.225497363629923675e-01
2.321999999999975668e-04	-3.944739045465673888e-01	-4.211318645412418515e-01
2.322999999999975692e-04	-3.929392992732936296e-01	-4.197128248786622939e-01
2.323999999999975716e-04	-3.912692975827037900e-01	-4.182926218304476862e-01
2.324999999999975741e-04	-3.895842863305147286e-01	-4.168712598549707549e-01
2.325999999999975765e-04	-3.878992750783256671e-01	-4.154487434137675850e-01
2.326999999999975789e-04	-3.862142638261366057e-01	-4.140250769715272394e-01
2.327999999999975814e-04	-3.845292525739474887e-01	-4.126002649960761604e-01
2.328999999999975838e-04	-3.834390855619984606e-01	-4.111743119583618489e-01
2.329999999999975862e-04	-3.823753604300214048e-01	-4.097472223324432061e-01
2.330999999999975886e-04	-3.813116352980443491e-01	-4.083190005954744906e-01
2.331999999999975911e-04	-3.802479101660673488e-01	-4.068896512276887756e-01
2.332999999999975935e-04	-3.791828149361531897e-01	-4.054591787123887348e-01
2.333999999999975959e-04	-3.780256615211362026e-01	-4.040275875359302660e-01
2.334999999999975984e-04	-3.768685081061192710e-01	-4.025948821877061712e-01
2.335999999999976008e-04	-3.757113546911023394e-01	-4.011610671601364420e-01
2.336999999999975490e-04	-3.745542012760860184e-01	-3.997261469486532715e-01
2.337999999999975514e-04	-3.733320448950467330e-01	-3.982901260516812925e-01
2.338999999999975539e-04	-3.712709975755900116e-01	-3.968530089706323039e-01
2.339999999999975563e-04	-3.692099502561333457e-01	-3.954148002098866188e-01
2.340999999999975587e-04	-3.671489029366766244e-01	-3.939755042767771887e-01
2.341999999999975612e-04	-3.650878556172199585e-01	-3.925351256815794998e-01
2.342999999999975636e-04	-3.631464270936519689e-01	-3.910936689374954200e-01
2.343999999999975660e-04	-3.620115105105540243e-01	-3.896511385606398759e-01
2.344999999999975685e-04	-3.608765939274560797e-01	-3.882075390700240880e-01
2.345999999999975709e-04	-3.597416773443581350e-01	-3.867628749875458571e-01
2.346999999999975733e-04	-3.586067607612601904e-01	-3.853171508379730215e-01
2.347999999999975758e-04	-3.574662817612070942e-01	-3.838703711489275250e-01
2.348999999999975782e-04	-3.563015207035638010e-01	-3.824225404508752590e-01
2.349999999999975806e-04	-3.551367596459205633e-01	-3.809736632771100195e-01
2.350999999999975830e-04	-3.539719985882772701e-01	-3.795237441637369646e-01
2.351999999999975313e-04	-3.528072375306346431e-01	-3.780727876496636775e-01
2.352999999999975337e-04	-3.515923922263160528e-01	-3.766207982765809592e-01
2.353999999999975361e-04	-3.502220444808565314e-01	-3.751677805889504502e-01
2.354999999999975386e-04	-3.488516967353970655e-01	-3.737137391339926951e-01
2.355999999999975410e-04	-3.474813489899375996e-01	-3.722586784616704891e-01
2.356999999999975434e-04	-3.461110012444780781e-01	-3.708026031246732801e-01
2.357999999999975459e-04	-3.447297607634070005e-01	-3.693455176784069538e-01
2.358999999999975483e-04	-3.433232055933081450e-01	-3.678874266809776250e-01
2.359999999999975507e-04	-3.419166504232092896e-01	-3.664283346931750396e-01
2.360999999999975531e-04	-3.405100952531104341e-01	-3.649682462784628600e-01
2.361999999999975556e-04	-3.391035400830115787e-01	-3.635071660029617346e-01
2.362999999999975580e-04	-3.374680077286228985e-01	-3.620450984354358082e-01
2.363999999999975604e-04	-3.354220036103554570e-01	-3.605820481472763461e-01
2.364999999999975629e-04	-3.333759994920880154e-01	-3.591180197124915763e-01
2.365999999999975653e-04	-3.313299953738205739e-01	-3.576530177076898132e-01
2.366999999999975677e-04	-3.292839912555530768e-01	-3.561870467120638595e-01
2.367999999999975702e-04	-3.273935335592240703e-01	-3.547201113073803480e-01
2.368999999999975184e-04	-3.257220619689599750e-01	-3.532522160779643094e-01
2.369999999999975208e-04	-3.240505903786949360e-01	-3.517833656106797990e-01
2.370999999999975232e-04	-3.223791187884299525e-01	-3.503135644949245675e-01
2.371999999999975257e-04	-3.207076471981649135e-01	-3.488428173226097995e-01
2.372999999999975281e-04	-3.190078679585750532e-01	-3.473711286881455140e-01
2.373999999999975305e-04	-3.172764920632101249e-01	-3.458985031884297956e-01
2.374999999999975330e-04	-3.155451161678452521e-01	-3.444249454228327512e-01
2.375999999999975354e-04	-3.138137402724803238e-01	-3.429504599931796349e-01
2.376999999999975378e-04	-3.120823643771153955e-01	-3.414750515037411338e-01
2.377999999999975403e-04	-3.104337541636455478e-01	-3.399987245612167697e-01
2.378999999999975427e-04	-3.088586030710737118e-01	-3.385214837747183569e-01
2.379999999999975451e-04	-3.072834519785018204e-01	-3.370433337557600662e-01
2.380999999999975475e-04	-3.057083008859299844e-01	-3.355642791182409379e-01
2.381999999999975500e-04	-3.041331497933581485e-01	-3.340843244784326704e-01
2.382999999999975524e-04	-3.027566448059718085e-01	-3.326034744549613009e-01
2.383999999999975006e-04	-3.015198986565784112e-01	-3.311217336687986013e-01
2.384999999999975031e-04	-3.002831525071844032e-01	-3.296391067432427602e-01
2.385999999999975055e-04	-2.990464063577903397e-01	-3.281555983039052271e-01
2.386999999999975079e-04	-2.978096602083962763e-01	-3.266712129786992769e-01
2.387999999999975104e-04	-2.964712590943642256e-01	-3.251859553978226347e-01
2.388999999999975128e-04	-2.950767250255483254e-01	-3.236998301937419331e-01
2.389999999999975152e-04	-2.936821909567324251e-01	-3.222128420011821093e-01
2.390999999999975176e-04	-2.922876568879164694e-01	-3.207249954571101402e-01
2.391999999999975201e-04	-2.908931228191005691e-01	-3.192362952007180565e-01
2.392999999999975225e-04	-2.896477922465520716e-01	-3.177467458734135608e-01
2.393999999999975249e-04	-2.884659571745130102e-01	-3.162563521188024862e-01
2.394999999999975274e-04	-2.872841221024739489e-01	-3.147651185826730869e-01
2.395999999999975298e-04	-2.861022870304349430e-01	-3.132730499129852131e-01
2.396999999999975322e-04	-2.849204519583958817e-01	-3.117801507598542132e-01
2.397999999999975347e-04	-2.835318079674781777e-01	-3.102864257755339472e-01
2.398999999999975371e-04	-2.820773980830247329e-01	-3.087918796144070166e-01
2.399999999999975395e-04	-2.806229881985712882e-01	-3.072965169329670565e-01
2.400999999999974877e-04	-2.791685783141186206e-01	-3.058003423898066897e-01
2.401999999999974902e-04	-2.777141684296651758e-01	-3.043033606455971540e-01
2.402999999999974926e-04	-2.762064064463463642e-01	-3.028055763630823627e-01
2.403999999999974950e-04	-2.746866116772710420e-01	-3.013069942070598084e-01
2.404999999999974975e-04	-2.731668169081957753e-01	-2.998076188443642986e-01
2.405999999999974999e-04	-2.716470221391204531e-01	-2.983074549438574086e-01
2.406999999999975023e-04	-2.701272273700451310e-01	-2.968065071764118823e-01
2.407999999999975048e-04	-2.688500540846642251e-01	-2.953047802148939249e-01
2.408999999999975072e-04	-2.676081140630365840e-01	-2.938022787341533770e-01
2.409999999999975096e-04	-2.663661740414089429e-01	-2.922990074110073389e-01
2.410999999999975120e-04	-2.651242340197813019e-01	-2.907949709242229064e-01
2.411999999999975145e-04	-2.638822939981536608e-01	-2.892901739545077344e-01
2.412999999999975169e-04	-2.623382231225093175e-01	-2.877846211844926061e-01
2.413999999999975193e-04	-2.607715587255542422e-01	-2.862783172987150015e-01
2.414999999999975218e-04	-2.592048943285992224e-01	-2.847712669836089949e-01
2.415999999999974700e-04	-2.576382299316449798e-01	-2.832634749274894892e-01
2.416999999999974724e-04	-2.560715655346899600e-01	-2.817549458205317880e-01
2.417999999999974749e-04	-2.546363595107493105e-01	-2.802456843547665444e-01
2.418999999999974773e-04	-2.532027964466133096e-01	-2.787356952240599983e-01
2.419999999999974797e-04	-2.517692333824773088e-01	-2.772249831240976570e-01
2.420999999999974821e-04	-2.503356703183413079e-01	-2.757135527523740803e-01
2.421999999999974846e-04	-2.489032645402933508e-01	-2.742014088081766721e-01
2.422999999999974870e-04	-2.474954749188735814e-01	-2.726885559925683045e-01
2.423999999999974894e-04	-2.460876852974538398e-01	-2.711749990083774375e-01
2.424999999999974919e-04	-2.446798956760340982e-01	-2.696607425601805774e-01
2.425999999999974943e-04	-2.432721060546143566e-01	-2.681457913542889537e-01
2.426999999999974967e-04	-2.418645630517546052e-01	-2.666301500987314221e-01
2.427999999999974992e-04	-2.404591879582235747e-01	-2.651138235032439172e-01
2.428999999999975016e-04	-2.390538128646925442e-01	-2.635968162792527436e-01
2.429999999999975040e-04	-2.376484377711615137e-01	-2.620791331398577007e-01
2.430999999999975065e-04	-2.362430626776304554e-01	-2.605607787998219793e-01
2.431999999999975089e-04	-2.348079438922711648e-01	-2.590417579755556199e-01
2.432999999999974571e-04	-2.332159240235978648e-01	-2.575220753850989697e-01
2.433999999999974595e-04	-2.316239041549237043e-01	-2.560017357481094713e-01
2.434999999999974620e-04	-2.300318842862495439e-01	-2.544807437858498389e-01
2.435999999999974644e-04	-2.284398644175753834e-01	-2.529591042211677965e-01
2.436999999999974668e-04	-2.267021640782857228e-01	-2.514368217784867521e-01
2.437999999999974693e-04	-2.244375678908901162e-01	-2.499139011837891167e-01
2.438999999999974717e-04	-2.221729717034945373e-01	-2.483903471645991234e-01
2.439999999999974741e-04	-2.199083755160989306e-01	-2.468661644499726970e-01
2.440999999999974765e-04	-2.176437793287033240e-01	-2.453413577704810222e-01
2.441999999999974790e-04	-2.156632650470392543e-01	-2.438159318581928636e-01
2.442999999999974814e-04	-2.144360499234592154e-01	-2.422898914466655174e-01
2.443999999999974838e-04	-2.132088347998791766e-01	-2.407632412709259095e-01
2.444999999999974863e-04	-2.119816196762991378e-01	-2.392359860674584393e-01
2.445999999999974887e-04	-2.107544045527190990e-01	-2.377081305741866601e-01
2.446999999999974911e-04	-2.096592149389861770e-01	-2.361796795304635099e-01
2.447999999999974394e-04	-2.088307894275813759e-01	-2.346506376770552404e-01
2.448999999999974418e-04	-2.080023639161761029e-01	-2.331210097561208505e-01
2.449999999999974442e-04	-2.071739384047708299e-01	-2.315908005112073675e-01
2.450999999999974466e-04	-2.063455128933655847e-01	-2.300600146872289198e-01
2.451999999999974491e-04	-2.051693064359138285e-01	-2.285286570304514153e-01
2.452999999999974515e-04	-2.034452430721334082e-01	-2.269967322884819116e-01
2.453999999999974539e-04	-2.017211797083529601e-01	-2.254642452102516847e-01
2.454999999999974564e-04	-1.999971163445725120e-01	-2.239312005459994093e-01
2.455999999999974588e-04	-1.982730529807920916e-01	-2.223976030472611387e-01
2.456999999999974612e-04	-1.965674553110778322e-01	-2.208634574668529860e-01
2.457999999999974637e-04	-1.948848374340624301e-01	-2.193287685588544700e-01
2.458999999999974661e-04	-1.932022195570470002e-01	-2.177935410785980797e-01
2.459999999999974685e-04	-1.915196016800315704e-01	-2.162577797826527315e-01
2.460999999999974710e-04	-1.898369838030161405e-01	-2.147214894288062836e-01
2.461999999999974734e-04	-1.884369202245371744e-01	-2.131846747760557936e-01
2.462999999999974758e-04	-1.873162959575254138e-01	-2.116473405845897271e-01
2.463999999999974782e-04	-1.861956716905136533e-01	-2.101094916157744130e-01
2.464999999999974265e-04	-1.850750474235025034e-01	-2.085711326321374459e-01
2.465999999999974289e-04	-1.839544231564907428e-01	-2.070322683973543354e-01
2.466999999999974313e-04	-1.828523886095113349e-01	-2.054929036762360994e-01
2.467999999999974338e-04	-1.817649598402013844e-01	-2.039530432347092803e-01
2.468999999999974362e-04	-1.806775310708914062e-01	-2.024126918398063968e-01
2.469999999999974386e-04	-1.795901023015814557e-01	-2.008718542596491796e-01
